Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,Handbook of Life Course Health Development,2018,"Editors
Neal Halfon
Christopher B. Forrest
Richard M. Lerner
Elaine M. Faustman","Springer, Cham","science,  childhood experiences,Autism,health, Biological embedding, Community , health development, chronic illnesses,Diabetes,Fetal programming,Hearing loss,MCH,Nutrition,Obesity,Oral health,Self-regulation ",https://drive.google.com/file/d/1Oy6ebX2TKeArQ8dECdmvCWa3g9udqTPj/view?usp=sharing,"This handbook synthesizes and analyzes the growing knowledge base on life course health development (LCHD) from the prenatal period through emerging adulthood, with implications for clinical practice and public health."
,,,RESTART Sustainable Business Model Innovation,2018,"Sveinung Jørgensen
Lars Jacob 
Tynes Pedersen","Palgrave Macmillan, Cham","business model, innovation,circular economy,sustainability,sustainable business,corporate responsibility,open access,corporate social responsibility",https://drive.google.com/file/d/1_h5w3wzdvwD9o8XEBAztw4wfm-IeqOfi/view?usp=sharing,"Taking the business model as point of departure, this open access book explores how companies and organizations can contribute to a more sustainable future by designing innovative models that are both sustainable and profitable. "
,,,"Diversity and Inclusion in Global Higher Education
Lessons from Across Asia",2020,"Editors
Catherine Shea Sanger
Nancy W. Gleason","Palgrave Macmillan, Singapore","Higher Education,Inclusive Pedagogy, Liberal Arts Teaching, Asia,Lifelong Learning, Hybrid Campus,International Education,Student Diversity,Course Design,Learner Diversity,Decolonizing the Curriculum",https://drive.google.com/file/d/1xpZ6sJupQUz743-RrL1CiniNWFlrLaEO/view?usp=sharing,"This open access book offers pioneering insights and practical methods for promoting diversity and inclusion in higher education classrooms and curricula. It highlights the growing importance of international education programs in Asia and the value of understanding student diversity in a changing, evermore interconnected world."
,,,European Variations as a Key to Cooperation,2020,"Ernst Hirsch Ballin
Emina Ćerimović
Huub Dijstelbloem
Mathieu Segers","Springer, Cham","The European Union, EU, Historical Background,Migration Policies,European Internal Market,Future European Cooperation,International Relations in Europe,Common Market Studies,Social Law, Netherlands, European Law, Ethics,Euro,Open Access",https://drive.google.com/file/d/15WaE8c6tb6PN8OU0zCn5s6DL6twURt8_/view?usp=sharing,"This Open Access book offers a novel view on the benefits of a lasting variation between the member states in the EU. The book discusses forms of variation that fall both within and outside the current framework of European Union Treaties. The scope for these variations is mapped out in three domains: the internal market; the euro; and asylum, migration and border control."
,,,Sustainable Development Goals and Human Rights,2020,"Editors
Markus Kaltenborn
Markus Krajewski
Heike Kuhn","Springer, Cham","Sustainable development,Human rights,Extreme poverty,Gender equality,Global health,Decent work,Climate change,Open Access,policy, climate change",https://drive.google.com/file/d/1JUSGPq5fbyPPNVMNy5Mmy4LLg26O5A0B/view?usp=sharing,"This open access book analyses the interplay of sustainable development and human rights from different perspectives including fight against poverty, health, gender equality, working conditions, climate change and the role of private actors. "
,,,"The Potato Crop
Its Agricultural, Nutritional and Social Contribution to Humankind",2020,"Editors
Hugo Campos
Oscar Ortiz","Springer, Cham","Open Access,biofortified crops,crop sciences,climate change,nutrition security,Solanum tuberosum,food security",https://drive.google.com/file/d/12v0Om76ok2BPTzoTnhlNu7Zlrx-3F4G6/view?usp=sharing,"This book provides a fresh, updated and science-based perspective on the current status and prospects of the diverse array of topics related to the potato, and was written by distinguished scientists with hands-on global experience in research aspects related to potato."
,,,A Primer on Sustainable Business,2012,,Saylor Foundation,"HR, human resources, operations management, IT, MIS, sustainability, accounting, marketing, R&D",https://drive.google.com/file/d/1Ds3CxFVyv9g8VN1APewS7RZyYRJbdkmo/view?usp=sharing,"Whether you are an executive, an entrepreneur, or an employee, A Primer on Sustainable Business will help you understand the big picture of what it means to be a sustainable business and will give you the information you need to begin your journey toward sustainability."
,,,"The Agile Samurai
How Agile Masters Deliver Great Software",2010,Jonathan Rasmusson,The Pragmatic Bookshelf,"agile development, marketing, TDD",https://drive.google.com/file/d/1u8rJhrGc1s-eBjxyphwu30dlqQmdgRCr/view?usp=sharing,This book represents a novel guide to software development and different approaches to it.
,,,An Introduction to Cooperation and Mutualism,2017,Michael Boland,University of Minnesota Libraries Publishing,"property rights, firm, corporate governance, ownership",https://drive.google.com/file/d/1etHUgOPDAOPAQIAKFseYnZRjtLt20Em4/view?usp=sharing,This textbook introduces readers to the idea of cooperation and mutualism. 
,,,Beyond Lean: Simulation in Practice - Second Edition,2013,Charles R. Standridge,Grand Valley State University,"simulation modeling, simulation engine, kanbans, inventory control, flexible manufacturing systems, transportation and delivery, automated guided vehicle systems, automated storage and retrieval",https://drive.google.com/file/d/1YAhb2EjAHeuvfauCL-bvFiMqzOXET3rw/view?usp=sharing,These studies serve as metaphors for industrial problems that are commonly addressed using lean and simulation.
,,,Building Strategy and Performance,2012,Kim Warren,Saylor Foundation,"Drivers of performance, resources, bathtub behavior, strategic architecture, rivalry",https://drive.google.com/file/d/1UGT7n7WTXZ-3XqU2nN0pltJojbVn2SUM/view?usp=sharing,This book uses a balanced blend of frameworks and illustrations to teach you how to tackle the challenge of driving performance into the future.
,,,Business Fundamentals,2009,Donald J McCubbrey,	The Global Text,"arrangement, entrepreneurs, ethics, marketing, products, services",https://drive.google.com/file/d/1S8ytetKL0drJF5uIY8XDFOC9XZ92LVso/view?usp=sharing,"This book provides a solid introduction into teaching information systems outside of a vacuum, i.e. giving students an appreciation of the organizational settings in which they operate. "
,,,Corporate Governance,2012,Cornelis A. de Kluyver,Saylor Foundation,"corporations, board of directors, U.S. Governance reforms, CEO, accountability, risk management, strategy development",https://drive.google.com/file/d/1GmGs5B7sKc6_vgWvuvLYTHSvNLjrdsv0/view?usp=sharing,Corporate Governance by de Kluyver is a primer on corporate governance. It is designed to help students understand corporate governance by looking at the subject from both a macro- and micro-perspective.
,,,Corporate Governance,2014,"William Frey

Jose a Cruz-Cruz",OpenStax CNX,"ethicalleadership, social responsibility, business ethics",https://drive.google.com/file/d/1KeRKNqOwOH2Qpe8dd_etf98uWBjDnwmW/view?usp=sharing,"This course takes an interdisciplinary approach to ethics in business and provides modules in Ethical Leadership, Ethical Decision-Making, Social Responsibility, and Corporate Governance. Students will actively study ethical theory by carrying out exercises to help them build theory-based tools for encountering ethical problems in business practice. "
,,,Exploring Business,2016,, University of Minnesota Libraries Publishing,"ethics, social responsibility, starting a business, global environment, ownership, teamwork, communications, financial resources, finances",https://drive.google.com/file/d/11qvyKRjSKva3qxzeBqhZuahWEhYm9S65/view?usp=sharing,This adapted version of the original book allows the readers to get introduced to the world of business and all it entails.
,,,Focusing on Organizational Change,2012,William Q. Judge,Saylor Foundation,"leadership, strategy, communication, teamwork, accountable culture, innovative culture",https://drive.google.com/file/d/1Ct97vwkU9SnxCiPQPI2dHB8lMQtRLd8X/view?usp=sharing,Focusing on Organizational Change offers an alternative to the traditional approach by focusing on building the change capacity of the entire organization in anticipation of future pressures to change. 
,,,Foundations of Academic Success: Words of Wisdom,2015,Thomas C. Priester,Open SUNY,"students, thinking critically, thinking creatively, creativity. future",https://drive.google.com/file/d/1l4uoD5Jt0UhiBiWqQl85daN4EAffP5J7/view?usp=sharing,Foundations of Academic Success: Words of Wisdom (FAS: WoW) introduces you to the various aspects of student and academic life on campus and prepares you to thrive as a successful college student (since there is a difference between a college student and a successful college student).
,,,Fundamentals of Global Strategy,2012,Cornelis A. de Kluyver,Saylor Foundation,"global world, globalization, branding, management",https://drive.google.com/file/d/1MwZZnbG4CM4N_B7h0QemoFLkNwPq33Jw/view?usp=sharing,"Students need to possess an understanding of the impact of global strategies on a business as the world around us is constantly changing. This book is an introduction to the topic, good for beginners and more knowledgable readers. "
,,,Fundamentals of Business - 3rd Edition,2018,Stephen J. Skripak,Virginia Tech Libraries,"teamwork, economics, ethics, social responsibility, entrepreneurship, management, leadership, employees",https://drive.google.com/file/d/1m8tIPXzTSlX2s_sdN3r2GqT04pzzxXga/view?usp=sharing,"Fundamentals of Business, third edition (2020) is an 370-page open education resource intended to serve as a no-cost, faculty customizable primary text for one-semester undergraduate introductory business courses."
,,,Fundamentals of Business - Canadian Edition,2018,Stephen J. Skripak,BCcampus,"teamwork, economics, ethics, social responsibility, entrepreneurship, management, leadership, employees",https://drive.google.com/file/d/1YCYDXeWJxAqY9U8fp7saefOHC0XqE_Yz/view?usp=sharing,An introductory textbook in business that covers a variety of topics.
,,,"Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy",2016,"Guillermo C. Jimenez

Elizabeth Pulos",OpenSUNY,"corporations, CSR, global warming, social entrepreneurship, marketing ethics, fair trade, Sweatshops, Animal rights, corruption",https://drive.google.com/file/d/1oeWEt5N_poPahA5sFcj38yPy6pTdaSnN/view?usp=sharing,"This textbook provides an innovative, internationally oriented approach to the teaching of corporate social responsibility (CSR) and business ethics, exploring the social, ethical, and business dynamics underlying CSR."
,,,Growth and Competitive Strategy in 3 Circles,2012,"Joe E. Urbany

James H. Davis",Saylor Foundation,"challenges of growth, value, 3-circle analysis, market, growth strategy",https://drive.google.com/file/d/15vSOtZCO-wfXxJbHQ-utkQJTLfzBOQh8/view?usp=sharing,This book provides an exploration of the 3'circle analysis. 
,,,International Business,2011,"Mason A Carpenter

Sanjyot P Dunung",Saylor Foundation,"international trade, foreign direct investment, economies, economics, monetary system, global sourcing, entrepreneurship, intrapreneurship, talent management, global innovation",https://drive.google.com/file/d/1G5WTta3BC3kfx1w0_WtI8eOHH1i6Dt9P/view?usp=sharing,"The book explores international business with the intent of developin readers'(students) knowledge of international contexts with the aim that they may launch, run, and work in any organization that is global in scope (or is wrestling with global competition or other global threats)."
,,,Introduction to Business,2018,"Lawrence J. Gitman
Carl McDaniel
Amit Shah 
Monique Reece 
Linda Koffel 
Bethann Talsma 
James C. Hyatt",OpenStax,"economics, ethics, organizational structures, ownership, human resources, labor relations, employees, accounting, money",https://drive.google.com/file/d/1p3LoOIqS8txxaKFxRT75hHS-aJaQEXAf/view?usp=sharing,"Introduction to Business covers the scope and sequence of most introductory business courses. The book provides detailed explanations in the context of core themes such as customer satisfaction, ethics, entrepreneurship, global business, and managing change. "
,,,Legal Aspects of Corporate Management and Finance,2012,"Don Mayer
 Daniel Warner
 George J. Siedel
 Jethro K. Lieberman",Saylor Foundation,"law, legal systems, courts",https://drive.google.com/file/d/1EU0BexPcySInfXwiSxuAiz2eEVAL8lDC/view?usp=sharing,"Legal Aspects of Corporate Management and Finance is an up-to-date textbook that covers key legal issues relating to corporate management and finance. The text is organized to permit instructors to tailor the materials to their particular approach. The authors take special care to engage students by relating law to everyday events with their clear, concise and readable style."
,,,Mastering Strategic Management - 1st Canadian Edition,2014,"Janice Edwards
 Dave Ketchen
 Jeremy Short",BCcampus,"strategy, CEO, entrepreneurship, resources, business,leadership",https://drive.google.com/file/d/1rZ-UfwuEVs0ZU5ayNpupWlQ5NZ3aZZIK/view?usp=sharing,Mastering Strategic Management is designed to enhance student engagement iin this topic. It does so in the innovative manner.
,,,Organizational Behavior,2017,, University of Minnesota Libraries Publishing,"organization, cultural diversity, stress and emotions, communication, conflict, negotations, power and politics, organizational culture",https://drive.google.com/file/d/1HkKx7GcgdPYwDmHp8oHXBHTFaqiHAQNn/view?usp=sharing,"This book gives students the vocabulary, framework, and critical thinking skills necessary to diagnose situations, ask tough questions, evaluate the answers received, and to act in an effective and ethical manner regardless of situational characteristics."
,,,Organizational Behavior,2019,multiple authors,OpenStax,"management, cultural differences, diversity, work motivation, communication",https://drive.google.com/file/d/1cNDltoEsYqZgAHUX5r8CyR8UEG3mh6Lk/view?usp=sharing,"The text presents the theory, concepts, and applications with particular emphasis on the impact that individuals and groups can have on organizational performance and culture. An array of recurring features engages students in entrepreneurial thinking, managing change, using tools/technology, and responsible management."
,,,Principles of Management,2015,, University of Minnesota Libraries Publishing,"business, entrepreneurship, leadership, globalization, mission, vision, values, strategy",https://drive.google.com/file/d/1UrrnTckVbOie1zgm8YDnRrp2Jr6K-TCK/view?usp=sharing,"This text provides an exciting perspective on the art of management that students can relate to. At the same time, this perspective is as relevant to existing for-profit organizations (in the form intrapreneurship) as it is to not-for-profits and new entrepreneurial ventures."
,,,Principles of Management,2019,multiple authors,OpenStax,"business, entrepreneurship, leadership, globalization, mission, vision, values, strategy",https://drive.google.com/file/d/1H298B8AUJR3D8z_9GnSClmkkDze6iB6R/view?usp=sharing,Principles of Management is designed to meet the scope and sequence requirements of the introductory course on management. 
,,,Problem Solving in Teams and Groups,2019,Cameron W. Piercy,University of Kansas Libraries,"Gantt chart, psychology, decision making, leadership, structuration theory, syjmbolic convergence theory, Hofstede's Cultural Dimension, conflict, negotiation",https://drive.google.com/file/d/1d9N1vfk7dIFppMZXUMPzx_9iyJeW0SVD/view?usp=sharing,This textbook covers content relevant to COMS342 Problem Solving in Teams and Groups at the University of Kansas.
,,,Small Business Management in the 21st Century,2012,"David Cadden
Sandra L. Lueder",Saylor Foundation,"e-business. e-commerse, marketing strategy, account and cash flow, financial management, global",https://drive.google.com/file/d/1jT3bTTddDztzkQSKfyjkpwAlazfiXCgB/view?usp=sharing,The text brings a fresh perspective by incorporating three distinctive and unique themes and an important new feature (Disaster Watch) which is embedded throughout the entire text. These themes assure that students see the material in an integrated context rather than a stream of separate and distinct topics.
,,,Strategic Management,2019,"John Morris
Tobias Hodges",Oregon State University,"corporate governance, external environment, business strategy, corporate strategy, internal capability",https://drive.google.com/file/d/1IHgF3-zN22qb03j4VPlUvpze3iu_RXF8/view?usp=sharing,"This open source textbook is derived from many sources, initially from the Principles of Management by Carpenter, Bauer, and Erdogan, but there is abundant new content as well. The most important change from 1e is that static content was removed to make room for student-generated dynamic content. "
,,,The Sustainable Business Case Book,2012,"Ross Gittell
 Matt Magnusson
 Michael Merenda",Saylor Foundation,"business framework, entrepreneurship, innovation, sustainability",https://drive.google.com/file/d/1jIGAfeKuGYU--zCSCAkuTeCQ1U1sUk7j/view?usp=sharing,"The Sustainable Business Case Book by Gittell, Magnusson and Merenda is one of the first of its kind. It combines the the theory of sustainability with key concepts, analytical information and contextual information with a collection of cases which provide insights, perspective and practical guidance on how sustainable businesses operate from different business functional area perspectives."
,,,The Sustainable Business Case Book,2010,Jonathan T Scott,EFMD,"economy, productions, accountability, sustainability",https://drive.google.com/file/d/1ENOpMeBqVEP2UdBg3S7KJWNSHQk9NTWA/view?usp=sharing,"Learning about sustainability and its relationship to business makes up the foundation of this book. Filled with examples, it provides an interesting read."
,,Marketing,,,,,,,
,,,Introducing Marketing,2011,John Burnett,The Global Text Project,"communication, company, IMC, marketing, markets, products",https://drive.google.com/file/d/1qN2jUnz6eaOIhAUmRc51jePiQ455RO4b/view?usp=sharing,"This book demonstrates how companies use marketing. Specific examples appear not only in text discussions, but also in the chapter openers, the ""Integrated Marketing"" and ""Newsline"" boxes, and the end of chapter cases. "
,,,eMarketing - The Essential Guide to Online Marketing,2012,,BCcampus,"e-mail marketing, advertising, affiliate, social media, online reputation management, web public relations, copywriting, mobile marketing, customer relationship, market research, strategy",https://drive.google.com/file/d/1Z_Uhg6wRqRCQIZn9bIKYsMdoqf1IN1PF/view?usp=sharing,eMarketing: The Essential Guide to Online Marketing is a textbook intended for third and fourth year marketing students and draws on both academic theory and practical experience. The book offers students information that is applicable to the eMarket industry by providing examples that are easily relatable. 
,,,eMarketing: The Essential Guide to Marketing in a Digital World,2022,Rob Stokes,Red & Yellow,"e-mail marketing, advertising, affiliate, social media, online reputation management, web public relations, copywriting, mobile marketing, customer relationship, market research, strategy",https://drive.google.com/file/d/1GePsIlcR8RM_qOBd6SEnT6OgnWW610dZ/view?usp=sharing,eMarketing: The Essential Guide to Online Marketing is a textbook intended for third and fourth year marketing students and draws on both academic theory and practical experience. The book offers students information that is applicable to the eMarket industry by providing examples that are easily relatable.
,,,Launch! Advertising and Promotion in Real Time,2009,"Michael Solomon
Lisa Duke Cornell
 Amit Nizan",Saylor Foundation,"SS+K, clients, aociety, consumers, audience, strategy, ROI",https://drive.google.com/file/d/1Fr56RXoTBG2VCPL8CYPb9dQeCOypUgTI/view?usp=sharing,"This textbook is the first of its kind to teach advertising concepts by reverse engineering a real advertising campaign from beginning to end.Students get a realistic sense of how theory plays out in practice, and get a flavor for the exciting field of advertising and promotion. And, they consistently learn the perspectives of both the advertising agency (where many journalism and communications students will work) and the client (where many marketing majors will work)."
,,,Principles of Marketing,2015,no authors, University of Minnesota Libraries Publishing,"strategic planning, consumers, public relations, social media, customer satisfaction",https://drive.google.com/file/d/1N9U39nrC3Qwwts8uE5DWAq-LNjap4MPc/view?usp=sharing,"Principles of Marketing teaches the experience and process of actually doing marketing – not just the vocabulary. It carries five dominant themes throughout in order to expose students to marketing in today's environment: Service dominant logic, Sustainability, Ethics and social responsibility, Global coverage, Metrics "
,,,Project Management,2014,Adrienne Watt,BCcampus,"PM, stakeholder management, framework, scope, quality, communication, risk management, resource, schedule",https://drive.google.com/file/d/1k0ibUqIvM_TOraUrdoLK7aqfEjIgvDFd/view?usp=sharing,"This book covers the basics of project management. This includes the process of initiation, planning, execution, control and close out that all projects share."
,,,The Power of Selling,2010,Kimberly Richmond,Saylor Foundation,"career, sales, ethics, business, presentation, objections, entrepreneurship",https://drive.google.com/file/d/1gVW9X84fKYeV3S0DkummZp3MDGN3mqpt/view?usp=sharing,"The Power of Selling is the perfect textbook to teach students about the proven process of selling. More important, it teaches students how to apply the tenets of selling to how to sell themselves and get the job they want, with the same process professional sales people learn (or brush up) on their own selling skills."
,,,The Facebook Marketing Guide,2012,Angela Alcorn,makeuseof.com,"web 2.0, social media, social network, marketing",https://drive.google.com/file/d/1hxg4s0bSkahtH9NTB4moFIqC91Bjbe0u/view?usp=sharing,"To get the best out of this social network in the field of marketing, you must know the tools available, how they should be used, the best practices and how to configure the environment in the most optimal way possible. This book provides a suficient guide in those efforts."
,,Engineer and Operational Management,,,,,,,
,,,Subject-Oriented Business Process Management,2012,"Albert Fleischmann
Werner Schmidt
Christian Stary
Stefan Obermeier
Egon Börger","Springer, Berlin, Heidelberg","BPM,business information systems,business process management,process modeling,requirements,engineering",https://drive.google.com/file/d/1jPRCXV_JzMseCd74aMlZjibaIy5jO-Wn/view?usp=sharing,"Subject-oriented Business Process Management (S-BPM) as presented in this book is based on this simple structure which enables  process-oriented thinking  and process modeling. The authors’ presentation style focuses on professionals in the industry, and on students specializing in process management or organizational modeling."
,,,Applied Predictive Modeling,2013,"Max Kuhn
Kjell Johnson","Springer, New York, NY","Model Non-Linear Predictive Models,RRegression Models,Regression Trees",https://drive.google.com/file/d/1cc1wuNKPvJwzyDKzi1KRd7zPLOycCGRj/view?usp=sharing,"This text is intended for a broad audience as both an introduction to predictive models as well as a guide to applying them. Readers should have knowledge of basic statistical ideas, such as correlation and linear regression analysis."
,,,"S-BPM Illustrated
A Storybook about Business Process Modeling and Execution",2013,"Albert Fleischmann
Stefan Raß
Robert Singer","Springer, Berlin, Heidelberg","BPM,business information systems,business process, management, modeling,requirements, engineering",https://drive.google.com/file/d/1oMMWhrlmjoqo4PgqiBhwe38QmE_Qncad/view?usp=sharing,"In this book, the authors show how S-BPM and its tools can be used in order to solve communication and synchronization problems involving humans and/or machines in an organization. This is a hands-on book, written by professionals for professionals, with a clear and concise style, a wealth of illustrations (as the title suggests), and focusing on an ongoing example with a real industrial background."
,,,"S-BPM in the Wild
Practical Value Creation",2015,"Editors
Albert Fleischmann
Werner Schmidt
Christian Stary","Springer, Cham","Agile Software Development,BPM,Business Process Management,Business Rules,Business-IT Alignment,Requirements Engineering",https://drive.google.com/file/d/1v3-Y2K_pQgYBt6sTD9zWy8BETUIHFjMC/view?usp=sharing,"This is the first book to present field studies on the application of subject-oriented business process management (S-BPM). Each case presents a specific story and focuses on an essential modeling or implementation issue, and most end with implications or suggestions for further studies."
,,,"S-BPM in the Production Industry
A Stakeholder Approach",2017,"Editors
Matthias Neubauer
Christian Stary","Springer, Cham","Business Process Management,Business Rules,BPMIndustry 4.0,Adaptive Systems,Case Studies",https://drive.google.com/file/d/1s2fi0bECWAhlPxT9d_qj5-w5ACOydph4/view?usp=sharing,This volume presents several case studies highlighting the latest findings in Industry 4.0 projects utilizing S-BPM features. 
,,,Applications and Experiences of Quality Control,2011,Ognyan Ivanov,	InTech,"enterprise, industry, manufacturing, production, products, quality, quality control, services",https://drive.google.com/file/d/1xM-R-elJezSf61KW5P_kuX5lHRtsIaGv/view?usp=sharing,"Quality control is all the mechanisms, actions, tools that we carry out to detect the presence of errors.  This book provides the fundamentals of how to utilize quality control and apply it to  our own businesses."
,,,Developing New Products and Services,2012,G. Lawrence Sanders,Saylor Foundation,"competition, PD curves, FAD, versioning curves, product differentiation, Lock-in and revenue growth, business plan, project management",https://drive.google.com/file/d/1ygkHaKlMljRVYOMFGjO_0MkWVsZaDJZp/view?usp=sharing,"A central theme of Developing New Products and Services is that there is, or should be, a constant struggle going on in every organization, business, and system between delivering feature-rich versions of products and services using extravagant engineering and delivering low-cost versions of products and services using frugal engineering. Students will come away with this notion and how to manifest it as a contributing employee at any company."
,,,Inventory Analytics,2021,Roberto Rossi,Roberto Rossi,"inventory systms, control, demand forecasting, Stochastic inventory control, Multi-echelon Inventory Systems",https://drive.google.com/file/d/1kBW663JrKhwqsul256XRrmwoHL_EWueM/view?usp=sharing,The book outlines the foundations of inventory systems and surveys prescriptive analytics models for deterministic inventory control. It further discusses predictive analytics techniques for demand forecasting in inventory control and also examines prescriptive analytics models for stochastic inventory control.
,,,Manufacturing Processes 4-5,2019,LamNgeun Virasak,Open Oregon Educational Resources,"milling machines, lathe machines, drill presses, bandsaws, surface grinders, heat treating, lean manufacturing, CNC",https://drive.google.com/file/d/1N-GwqfGYwaNPjQ4rJ4gUfC8DnS93EtSJ/view?usp=sharing,"This textbook provides an introduction to the important area of manufacturing processes. This text will explain the hows, whys, and whens of various machining operations, set-ups, and procedures. "
,,,Project Management from Simple to Complex,2016,, University of Minnesota Libraries Publishing,"client expectations, organization, communication technologies, managing costs, quality, risk",https://drive.google.com/file/d/1v0AKzrStRu25G7FdnKBeWm_mk3ybhu_w/view?usp=sharing,"The book is written in collaboration by an expert in Project Management and an expert in writing instructional textbooks and using technology for communicating online to create a unique learning environment that prepares students to manage projects in a global, multicultural, and online environment."
,,,Risk Management for Enterprises and Individuals,2009,"Etti Baranoff
Patrick Lee Brockett
 Yehuda Kahane",Saylor Foundation,"risk measurement, insurance, property risk management, liability, multirisk, financial risks, social security, employment-based risk management, mortality risk management, holistic risk management",https://drive.google.com/file/d/18meaHyuDscihmszKwJhV8OXwzgj0JLcN/view?usp=sharing,This book is intended for the Risk Management and Insurance course where Risk Management is emphasized.
,,,Technical Mathematics,2021,Morgan Chase,Open Oregon Educational Resources,"operations, numbers, formulas, fractions, maths, probability",https://drive.google.com/file/d/1PjeO8YwMQ5ifem3nKortMCGCbnN3jXUO/view?usp=sharing,This developmental-level mathematics textbook is intended for career-technical students.
,,,Technical Project Management in Living and Geometric Order - Third Edition,2018,"Jeffrey Russell
Wayne Pferdehirt
 John Nelson
Brian Price",University of Wisconsin-Madison,"audits, procurement, strategy, project initiation, team, leadership",https://drive.google.com/file/d/11ngpx6Md4cZTVn63e7WmHDjpq1ECmadU/view?usp=sharing,"The Technical Project Management is designed to help students build on their past experiences and develop effective strategies for managing complex technical projects, with an emphasis on applying project management concepts to real-world problems."
,,,"Algebra
revised third edition",2002,Serge Lang,"Springer, New York","mathematics, algebra, math",https://drive.google.com/file/d/1tElwwK1my-ZLK7G5yika7ea1LiYJzIq2/view?usp=sharing,"The present book is meant as a basic text for a one-year course in algebra,
at the graduate level ."
,,,,,,,,,
FIT,,,,,,,,,
,Information Technology,,,,,,,,
,,Databases,,,,,,,
,,,A Primer on SQL (3rd Edition),2015,Rahul Batra,	Leanpub,"databases, programming, SQL",https://drive.google.com/file/d/1X0rcuCIsK7s2d6FZfWPj6RT4zkmENW37/view?usp=sharing,"This book provides a tutorial on the syntax of SQL, so that the reader is able to recognize the parts of queries they encounter and even be able to write simple SQL statements and queries themselves. The book however is not intended as a reference work or for a full time database administrator since it does not have an exaustive topic coverage.This edition features a new chapter on subqueries and a few other changes suggested by readers. "
,,,Data Mining for the Masses,2012,Matthew North,	The Global Text Project,"data mining, databases",https://drive.google.com/file/d/1X6QYRPgEewBdE21GNhKMw0G1MYJIUUqB/view?usp=sharing,"The intent of this book is to introduce you to concepts and practices common in data mining. It is intended primarily for undergraduate college students and for business professionals who may be interested in using information systems and technologies to solve business problems by mining data, but who likely do not have a formal background or education in computer science."
,,,Database Design - 2nd Edition,2015,"Adrienne Watt 
Nelson Eng",BCcampus,"databases, programming, SQL, relational databases, modeling",https://drive.google.com/file/d/1chxmamfBxGmfvfS-2skcvcKAWwkuRCXH/view?usp=sharing,"Database Design - 2nd Edition covers database systems and database design concepts. New to this edition are SQL info, additional examples, key terms and review exercises at the end of each chapter."
,,,Measuring and Optimizing Database Security Operations: An Open Model,2011,various,Securosis,"databases, security",https://drive.google.com/file/d/1M_BtEaMADk4oeRoSNmd18EUJZ0_Tcrxb/view?usp=sharing,"This project, started in 2008 by Securosis, seeks to offer a series of metrics through which to measure each of the areas that concern the field of security in this field. These have been designed to help the administrator better understand the security process inherent to a system in terms of its cost, efficiency and effectiveness."
,,,Effective and Efficient Similarity Search in Databases,2013,Dustin Lange,Universitat Postdam,"algorithmics, data structure, database, databases, indexing",https://drive.google.com/file/d/18SFbVwwxy4YPXEMDmRBw2KkA7WQxxjH4/view?usp=sharing,"This book provides exploration of similarity searches in databases, specifically the effectiveness and efficiency of the searches. "
,,,Energy Efficient Servers Blueprints for Data Center Optimization,2015,various,Apress Open,"BigData, database, operating systems, sysadmin",https://drive.google.com/file/d/17ub7vUjTAfJOEarJ4c34mehr1gW7vukp/view?usp=sharing,"The book includes a deep examination ofpower management technologies and techniques used in energy efficient servers, especially different features used in processors, memory, interconnects, I/O devices, and other platform components. "
,,,Microsoft SQL Server Notes for Professionals,2018,various,GoalKicker.com,"databases, Microsoft, programming, SQL",https://drive.google.com/file/d/1ZQAkDEzO65DK-5IzL3B60I1LuBmRXLpt/view?usp=sharing,"This Microsoft SQL Server Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow.
"
,,,Mining of Massive Datasets,2011,"Anand Rajaraman
 Jeﬀrey D. Ullman",	Desktop publishing,"clustering, data mining, map-reduce",https://drive.google.com/file/d/1JsaYZJAe-OPQenH_Py4MSQ3rJVrI23Z_/view?usp=sharing,"Data Mining (DM) is the non-trivial extraction of information that resides implicitly in the data. This information was previously unknown and may be useful for a process. In other words, data mining prepares, probes and explores the data to extract the information hidden in it. This book allows you to understand the process better."
,,,MongoDB Use Cases,2013,various,	Desktop publishing,"databases, MongoDB, Python",https://drive.google.com/file/d/1esssHnbFnixVHXox023MaEvZ9Ztw55nm/view?usp=sharing,"This reference guide shows different use cases for this system providing the interested party with examples on patterns, design and operations for developments with MongoDB."
,,,The Little MongoDB Book,2011,Karl Seguin,	Desktop publishing,"databases, MongoDB, NoSQL",https://drive.google.com/file/d/1pzW923YygdVpaZIos8IEX6e-5NGWVRPB/view?usp=sharing,"This reference guide shows different use cases for this system providing the interested party with examples on patterns, design and operations for developments with MongoDB."
,,,MongoDB Notes for Professionals,2018,various,GoalKicker.com,"databases, NoSQL, Javascript, MongoDB, programming",https://drive.google.com/file/d/1rWFGbIV1CnH40vFvfAqerC4hqnEmbLa6/view?usp=sharing,"This MongoDB Notes for Professionals book is compiled from Stack Overflow Documentation, the content is written by the beautiful people at Stack Overflow."
,,,MySQL Tutorial,2010,various,Tutorialspoint.com,"databases, DBMS, MySQL, RDBMS",https://drive.google.com/file/d/150aE_8jTTKSHHkU_xvrLMvi_orweXGXa/view?usp=sharing,"This manual offers a quick overview of MySQL terminology, its installation, and the simplest queries."
